legacy_switch,interface,vlan_id,neighbor_name,neighbor_interface
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,Vlan1,,,
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,Vlan252,,,
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/1,712,OSM-1-1A-AP03.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/2,712,OSM-1-1A-AP05.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/3,712,OSM-1-1A-AP06.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/4,712,OSM-1-1A-AP07.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/5,712,OSM-1-1A-AP09.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/6,712,OSM-1-1A-AP10.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/7,712,OSM-1-1A-AP13.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/8,712,OSM-1-1A-AP16.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/9,712,OSM-1-1A-AP17.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/10,712,OSM-1-1A-AP19.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/11,712,OSM-1-1A-AP22.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/12,712,OSM-1-1A-AP23.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/13,712,OSM-1-1A-AP25.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/14,712,OSM-1-1A-AP27.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/15,174,,
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/16,174,,
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/17,712,OSM-1-1A-176.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/18,712,OSM-1-1A-177.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/19,712,OSM-1-1A-180-CAB,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/24,trunk,OSM-1A-switch3.xcmmc.nhs.uk,Gig 0/1
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/1,712,OSM-1-1A-AP01.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/2,712,OSM-1-1A-AP02.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/3,712,OSM-1-1A-AP04.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/4,712,OSM-1-1A-AP08.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/5,712,OSM-1-1A-AP11.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/6,712,OSM-1-1A-AP14.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/7,712,OSM-1-1A-AP12.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/8,712,OSM-1-1A-AP15.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/9,712,OSM-1-1A-AP18.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/10,712,OSM-1-1A-AP20.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/11,712,OSM-1-1A-AP21.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/12,712,OSM-1-1A-AP24.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/13,712,OSM-1-1A-AP26.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/14,712,,
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/15,712,OSM/IVF-LAB/AP-01/HB-03.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/18,712,OSM-1-1A-179.xcmmc.nhs.uk,Gig 0
CEN-OSM-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/24,trunk,OSM-1A-switch5.xcmmc.nhs.uk,Gig 0/2
OSM-1A-Swicth04.xcmmc.nhs.uk,Vlan1,,,
OSM-1A-Swicth04.xcmmc.nhs.uk,Vlan254,,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/2,174,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/3,173,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/4,174,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/5,173,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/6,173,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/8,174,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/9,173,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/10,174,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/11,174,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/12,174,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/19,174,,
OSM-1A-Swicth04.xcmmc.nhs.uk,FastEthernet0/23,174,,
OSM-1A-Swicth04.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CARE-ORC-DN2-DST-02.xcmmc.nhs.uk,TwentyFiveGigE1/0/4
OSM-1A-Swicth04.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,OSM-1A-switch5.xcmmc.nhs.uk,Gig 0/1
OSM-1A-Switch1.xcmmc.nhs.uk,Vlan1,,,
OSM-1A-Switch1.xcmmc.nhs.uk,Vlan254,,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/1,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/2,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/4,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/5,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/8,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/9,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/10,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/12,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/13,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/15,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/17,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/20,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,FastEthernet0/22,174,,
OSM-1A-Switch1.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CARE-ORC-DN1-DST-02.xcmmc.nhs.uk,TwentyFiveGigE1/0/25
OSM-1A-Switch1.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,OSM-1A-switch2.xcmmc.nhs.uk,Gig 0/2
OSM-1A-switch2.xcmmc.nhs.uk,Vlan1,,,
OSM-1A-switch2.xcmmc.nhs.uk,Vlan254,,,
OSM-1A-switch2.xcmmc.nhs.uk,FastEthernet0/6,174,,
OSM-1A-switch2.xcmmc.nhs.uk,FastEthernet0/7,174,,
OSM-1A-switch2.xcmmc.nhs.uk,FastEthernet0/8,174,,
OSM-1A-switch2.xcmmc.nhs.uk,FastEthernet0/11,174,,
OSM-1A-switch2.xcmmc.nhs.uk,FastEthernet0/12,174,,
OSM-1A-switch2.xcmmc.nhs.uk,FastEthernet0/13,174,,
OSM-1A-switch2.xcmmc.nhs.uk,FastEthernet0/17,174,,
OSM-1A-switch2.xcmmc.nhs.uk,FastEthernet0/20,174,,
OSM-1A-switch2.xcmmc.nhs.uk,FastEthernet0/21,174,,
OSM-1A-switch2.xcmmc.nhs.uk,FastEthernet0/22,174,,
OSM-1A-switch2.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,OSM-1A-switch3.xcmmc.nhs.uk,Gig 0/2
OSM-1A-switch2.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,OSM-1A-Switch1.xcmmc.nhs.uk,Gig 0/2
OSM-1A-switch3.xcmmc.nhs.uk,Vlan1,,,
OSM-1A-switch3.xcmmc.nhs.uk,Vlan254,,,
OSM-1A-switch3.xcmmc.nhs.uk,FastEthernet0/13,174,,
OSM-1A-switch3.xcmmc.nhs.uk,FastEthernet0/14,174,,
OSM-1A-switch3.xcmmc.nhs.uk,FastEthernet0/15,174,,
