legacy_switch,interface,vlan_id,neighbor_name,neighbor_interface
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,Vlan1,,,
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,Vlan252,,,
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/1,715,CSB2-2-4A-AP02.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/2,715,CSB2-2-4A-AP04.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/3,715,CSB2-2-4A-AP07.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/4,715,CSB2-1-4A-AP08.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/5,715,CSB2-3-4A-AP02.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/6,715,CSB2-3-4A-AP04.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/7,715,CSB2-3-4A-AP06.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/8,715,CSB2-3-4A-AP08.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/9,715,CSB2-0-4A-AP02.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/10,715,CSB2-2-4A-AP09.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/11,715,CSB2-0-4A-AP06.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/12,715,CSB2-0-4A-AP08.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/13,715,CSB2-1-4A-AP02.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/14,715,CSB2-1-4A-AP04.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/15,715,CSB2-1-4A-AP06.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/17,77,,
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/19,77,,
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/20,715,CSB2-3-4A-AP09.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/23,77,,
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet1/0/24,trunk,CSB2-4A-Switch10,Gig 0/1
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/1,715,CSB2-2-4A-AP01.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/2,715,CSB2-2-4A-AP03.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/3,715,CSB2-2-4A-AP05.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/4,715,CSB2-2-4A-AP06.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/5,715,CSB2-3-4A-AP01.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/6,715,CSB2-3-4A-AP03.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/7,715,CSB2-3-4A-AP05.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/8,715,CSB2-3-4A-AP07.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/9,715,CSB2-0-4A-AP01.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/10,715,CSB2-0-4A-AP03.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/11,715,CSB2-2-4A-AP08.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/12,715,CSB2-0-4A-AP07.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/13,715,CSB2-1-4A-AP01.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/14,715,CSB2-1-4A-AP03.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/16,715,CSB2-1-4A-AP07.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/17,715,CSB2-0-4A-AP09-EXT.xcmmc.nhs.uk,Gig 0
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/19,74,,
CEN-CSB2-4A-ACCSW-STK.xcmmc.ns.uk,GigabitEthernet2/0/21,77,,
