legacy_switch,interface,vlan_id,neighbor_name,neighbor_interface
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/4,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/6,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/7,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/8,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/9,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/11,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/12,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/20,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/22,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/25,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/26,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/28,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/29,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/35,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/36,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/38,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/39,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/40,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/42,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/43,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/44,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/45,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/47,79,,
CMH-0A-switch3.xcmmc.nhs.uk,FastEthernet0/48,79,,
CMH-0A-switch3.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CEN-CMH-0A-ACCSW.xcmmc.nhs.uk,Gig 1/0/24
CMH-0A-switch3.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CMH-0A-switch2.xcmmc.nhs.uk,Gig 1/0/47
CMH-0A-switch4.xcmmc.nhs.uk,Vlan1,,,
CMH-0A-switch4.xcmmc.nhs.uk,Vlan253,,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/1,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/2,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/3,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/4,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/5,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/6,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/7,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/9,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/11,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/12,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/13,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/14,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/15,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/17,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/18,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/19,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/20,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/22,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/23,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/25,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/26,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/27,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/28,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/29,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/30,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/32,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/33,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/35,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/36,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/37,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/39,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/40,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/41,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/42,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/44,79,,
CMH-0A-switch4.xcmmc.nhs.uk,FastEthernet0/48,79,,
CMH-0A-switch4.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CEN-CMH-0A-ACCSW.xcmmc.nhs.uk,Gig 2/0/24
CMH-0A-switch4.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CARE-ORC-DN2-DST-03.xcmmc.nhs.uk,TwentyFiveGigE1/0/16
