legacy_switch,interface,vlan_id,neighbor_name,neighbor_interface
CSB3-3A-switch1.xcmmc.nhs.uk,Vlan1,,,
CSB3-3A-switch1.xcmmc.nhs.uk,Vlan255,,,
CSB3-3A-switch1.xcmmc.nhs.uk,FastEthernet0/2,76,,
CSB3-3A-switch1.xcmmc.nhs.uk,FastEthernet0/3,76,,
CSB3-3A-switch1.xcmmc.nhs.uk,FastEthernet0/13,76,,
CSB3-3A-switch1.xcmmc.nhs.uk,FastEthernet0/15,76,,
CSB3-3A-switch1.xcmmc.nhs.uk,FastEthernet0/16,76,,
CSB3-3A-switch1.xcmmc.nhs.uk,FastEthernet0/18,76,,
CSB3-3A-switch1.xcmmc.nhs.uk,FastEthernet0/19,76,,
CSB3-3A-switch1.xcmmc.nhs.uk,FastEthernet0/24,76,,
CSB3-3A-switch1.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CARE-ORC-DN1-DST-02.xcmmc.nhs.uk,TwentyFiveGigE1/0/18
CSB3-3A-switch1.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CSB-3A-switch2.xcmmc.nhs.uk,Gig 0/1
CSB3-3A-switch3.xcmmc.nhs.uk,Vlan1,,,
CSB3-3A-switch3.xcmmc.nhs.uk,Vlan255,,,
CSB3-3A-switch3.xcmmc.nhs.uk,FastEthernet0/9,76,,
CSB3-3A-switch3.xcmmc.nhs.uk,FastEthernet0/13,76,,
CSB3-3A-switch3.xcmmc.nhs.uk,FastEthernet0/15,76,,
CSB3-3A-switch3.xcmmc.nhs.uk,FastEthernet0/17,76,,
CSB3-3A-switch3.xcmmc.nhs.uk,FastEthernet0/21,76,,
CSB3-3A-switch3.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CSB-3A-switch2.xcmmc.nhs.uk,Gig 0/2
CSB3-3A-switch3.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CSB3-3A-switch4.xcmmc.nhs.uk,Gig 0/1
CSB3-3A-switch4.xcmmc.nhs.uk,Vlan1,,,
CSB3-3A-switch4.xcmmc.nhs.uk,Vlan255,,,
CSB3-3A-switch4.xcmmc.nhs.uk,FastEthernet0/3,76,,
CSB3-3A-switch4.xcmmc.nhs.uk,FastEthernet0/9,76,,
