legacy_switch,interface,vlan_id,neighbor_name,neighbor_interface
CSB1-2A-Switch1.xcmmc.nhs.uk,Vlan1,,,
CSB1-2A-Switch1.xcmmc.nhs.uk,Vlan255,,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/1,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/2,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/3,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/4,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/5,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/6,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/7,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/8,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/9,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/10,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/11,162,SEP08000FCE38A3,Port 1
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/12,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/13,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/15,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/16,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/17,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/18,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/19,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/20,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/21,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/22,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/24,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/25,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/26,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/27,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/29,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/30,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/31,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/32,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/33,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/34,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/35,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/36,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/37,712,CSB1-2-4A-AP01.xcmmc.nhs.uk,Gig 0
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/38,712,APb838.6127.87cc.xcmmc.nhs.uk,Gig 0.1
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/39,712,CSB1-2-4A-AP03.xcmmc.nhs.uk,Gig 0
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/40,712,CSB1-2-4A-AP04.xcmmc.nhs.uk,Gig 0
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/41,712,CSB1-2-4A-AP05.xcmmc.nhs.uk,Gig 0
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/42,712,CSB1-2-4A-AP06.xcmmc.nhs.uk,Gig 0
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/43,712,CSB1-2-4A-AP07.xcmmc.nhs.uk,Gig 0
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/44,712,CSB1-2-4A-AP08.xcmmc.nhs.uk,Gig 0
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/45,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/46,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/47,162,SEP08000FF9CAF5,Port 1
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/48,162,SEP08000FF9B8B6,Port 1
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet1/0/50,trunk,CARE-ORC-DN1-DST-03.xcmmc.nhs.uk,TwentyFiveGigE1/0/26
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/1,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/2,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/3,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/4,715,Mortuary-AP-09,Gig 0
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/5,715,Mortuary-AP-11,Gig 0
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/6,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/7,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/9,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/10,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/11,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/12,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/13,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/14,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/15,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/16,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/18,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/19,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/20,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/21,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/22,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/23,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/24,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/25,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/26,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/27,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/28,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/29,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/30,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/31,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/32,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/33,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/34,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/35,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/36,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/37,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/38,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/40,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/41,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/42,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/43,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/44,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/45,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/46,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/47,162,,
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/48,trunk,CSB1-2A-SWITCH2-ACCSW-93K.xcmmc.nhs.uk,Gig 1/0/48
CSB1-2A-Switch1.xcmmc.nhs.uk,GigabitEthernet2/0/52,trunk,CEN-CSB2-4A-ACCSW-STK.xcmmc.nhs.uk,Gig 3/0/52
